"tweet_id","timestamp","tweet","source_url","source_name","lang","longitude","latitude","country","ccode","place_sht","place_lng","user_id","user_name","user_desc","user_loc","user_create","followers","friends"
"1587232989255196672","Tue Nov 01 00:00:08 +0000 2022","Drinking a Black Wych by @hobgoblinbeer @ Cyber Beer Kitchen — https://t.co/ERzBaPCFnp","https://untappd.com","Untappd","en","-3.0906005","53.3452759","United Kingdom","GB","North West","North West, England","1449353641","Cyber Beer Reviews","Bringing you the socially distanced pub since 2013!","Pensby, UK","Wed May 22 16:14:41 +0000 2013","1148","1556"
"1587233022834872322","Tue Nov 01 00:00:16 +0000 2022","23:48 Temp. 12.9°C, Hum. 92%, Dewp. 11.3°C, Bar. 994.4 hpa, Rain Today 5.3000 mm, Wind 180° 5.0 km/h","http://plus.meteoware.com/netatmo/","MeteoWare Plus+","en","-5.6650741","54.4110584","United Kingdom","GB","Shrigley","Shrigley, Northern Ireland","2411260615","Clea Lakes","Automatic Weather Station based at Killyleagh, County Down","Killyleagh, Northern Ireland","Tue Mar 25 16:26:12 +0000 2014","57","233"
"1587233027007995906","Tue Nov 01 00:00:17 +0000 2022","🗺️ Capitan Basilio Araujo 4098 #Cerrito
📆 2015-08
🔗 https://t.co/8MayPjNXrM https://t.co/zePX5Qt4KY","http://twitter.cms","Sin solución","es","-56.16828949","-34.85340636","Uruguay","UY","Montevideo","Montevideo, Uruguay","819496734","Cada dirección de Montevideo","Cada dirección de MVD aleatoriamente cada 30min.

""Inspirado"" en los bots ""everylot"" de @fitnr

👨‍👧‍👦 https://twitter.com/i/lists/1428827956294586372/members","Uruguay papá","Wed Sep 12 12:50:39 +0000 2012","349","1"
"1587233240909234176","Tue Nov 01 00:01:08 +0000 2022","I'm at 疋田町交差点 https://t.co/pdYQNu2OB4","http://foursquare.com","Foursquare","ja","136.67002869","36.60461044","日本","JP","金沢市","石川 金沢市","217028601","誰とはイワン３７th＠金沢市","世の中は八方塞がりで、巧くいきませんが、いいことは必ずやって来ると信じています。こだわらないことに拘り、呟き散らす時があります。政治や社会へのツイートは個人の感想です。ツイート数が多い日もあるので、ご了承ください。","金沢市","Thu Nov 18 11:37:21 +0000 2010","910","938"
"1587233287050772480","Tue Nov 01 00:01:19 +0000 2022","演歌推しの皆様、ぜひご来場くださいね。そしてCDご購入いただき、みゆちゃんのおうえんをよろしくお願い致します！
#津吹みゆ
#おんなの嵯峨野路
＃プランアテーナー 場所: Iwaki, Fukushima https://t.co/0iHiN49jY0","http://instagram.com","Instagram","ja","140.883","37.05","日本","JP","いわき市","福島 いわき市","252626913","ぴよたん（友さんのママ改め）","ママと言うよりばばちゃんに昇格したので呼び名変更、よろしくね。カラオケで歌う事と小さなカフェ探しが趣味。好きな田舎料理でのボランティアと、建築屋の事務とイベンターのお仕事してます。最近は演歌女子の追っかけもはまってるよ！","福島県いわき市","Tue Feb 15 15:44:53 +0000 2011","329","268"
"1587233308018180096","Tue Nov 01 00:01:24 +0000 2022","Acaba de publicar una foto en Cajón del Maipo https://t.co/eezLVYrW0z","http://instagram.com","Instagram","es","-70.64769939","-33.4420353","Chile","CL","Santiago","Santiago, Chile","598830882","Cajón del Maipo","Revista de Naturaleza, Turismo y Cultura bimestral editada en el Cajón del Maipo.","Cajón del Maipo, Chile.","Sun Jun 03 23:26:57 +0000 2012","1297","282"
"1587233475802943491","Tue Nov 01 00:02:04 +0000 2022","【M3.9】ISLAS TALAUD, INDONESIA 3km 31/10/2022 23:43:10 UTC #Sismo #Terremoto
(G)https://t.co/dTcFzvpjLr (EMSC)https://t.co/KMW1LbYFXk","http://eqmap.web.fc2.com/","twitbot_h","in","127.14","4.69","Indonesia","ID","Sulawesi Utara","Sulawesi Utara, Indonesia","2920049156","Sismo Mapa","Sismos Magnitud 3.0+ en el Mundo. | magnitud | region | profundidad | UTC | Google Maps URL | EMSC URL |","","Fri Dec 05 23:51:25 +0000 2014","4507","1"
"1587233656183042049","Tue Nov 01 00:02:47 +0000 2022","See our latest Waikiki, HI Security Officer job opportunity and click the link in our bio to apply: Security Guard… https://t.co/ylSXr61ajg","https://www.careerarc.com","CareerArc 2.0","en","-157.835698","21.285002","United States","US","Honolulu","Honolulu, HI","118676339","TMJ-HON Security Job","Follow this account for geo-targeted Security job tweets in Honolulu, HI. Need help? Tweet us at @CareerArc!","Honolulu, HI","Mon Mar 01 12:31:29 +0000 2010","199","180"
"1587233769412501506","Tue Nov 01 00:03:14 +0000 2022","Neuer #Minijob in #Wülfrath: Küchenhelfer (m/w/d) in Wülfrath
#Job #Aushilfe #Nebenjob #Stellenangebot

Jetzt bewer… https://t.co/M1OBv49uwa","https://www.minijob-anzeigen.de","minijob-anzeigen.de","de","7.0382","51.282","Deutschland","DE","Wülfrath","Wülfrath, Deutschland","1069583615762288642","minijob-anzeigen.de","Twitterprofil von http://minijob-anzeigen.de Impressum: https://www.minijob-anzeigen.de/Impressum","Germany","Mon Dec 03 13:26:20 +0000 2018","49","4"
"1587233865898536960","Tue Nov 01 00:03:37 +0000 2022","Construction on #NJ29 NB from South of Warren St to South of I-295 https://t.co/j3V0FUrr77","https://511ny.org","511NY-Tweets","en","-74.770072","40.217586","United States","US","Trenton","Trenton, NJ","50706690","511 New York","Traffic & transit updates for all of New York State provided by New York State 511. Visit the website for more feeds.","New York State","Thu Jun 25 17:22:38 +0000 2009","4036","191"
